0,152,95,175,99
1,117,1,236,200
2,33,140,72,49
3,206,55,113,117
4,45,59,30,170
5,49,40,236,25
6,219,214,122,50
7,28,105,219,209
8,201,89,86,208
9,243,246,30,3
10,152,148,190,197
11,187,121,138,222
12,187,177,241,86
13,239,54,108,60
14,165,151,231,159
15,211,136,196,180
16,205,14,200,104
17,63,28,231,93
18,220,167,34,94
19,5,187,38,0
20,43,198,132,167
21,243,110,201,220
22,209,100,4,218
23,224,171,126,226
24,161,126,251,145
25,127,69,215,71
26,220,124,15,76
27,72,185,10,153
28,244,55,237,46
29,131,152,133,255
30,49,184,247,55
31,103,190,54,93
32,38,56,42,232
33,33,59,170,213
34,151,102,43,254
35,6,202,64,254
36,205,121,63,184
37,76,19,182,95
38,125,19,124,126
39,74,213,81,35
40,232,171,17,15
41,216,157,171,228
42,121,169,225,58
43,68,167,249,56
44,216,19,35,48
45,46,9,89,49
46,111,98,184,207
47,224,87,26,122
48,84,173,108,208
49,226,140,155,178
50,226,30,247,209
51,0,26,168,162
52,145,117,230,50
53,159,171,128,170
54,69,12,52,72
55,226,83,227,19
56,241,186,71,45
57,29,153,190,100
58,59,190,133,90
59,35,19,207,169
60,238,199,150,176
61,22,247,204,173
62,25,14,124,242
63,245,121,37,119
64,22,112,128,201
65,109,129,114,2
66,48,119,223,100
67,88,170,3,19
68,73,43,160,64
69,2,133,200,47
70,151,181,224,97
71,113,68,7,74
72,156,198,34,57
73,228,45,221,95
74,137,230,216,181
75,82,139,164,86
76,126,255,118,140
77,208,228,142,198
78,146,112,228,168
79,199,193,226,224
80,16,111,246,173
81,68,131,52,116
82,24,102,235,1
83,0,69,203,135
84,201,150,181,93
85,127,244,72,241
86,248,60,201,249
87,35,140,61,158
88,218,7,222,129
89,69,121,17,175
90,76,244,208,165
91,46,5,236,87
92,226,236,83,205
93,60,212,2,135
94,153,36,193,154
95,171,109,182,174
96,236,112,121,46
97,46,242,99,171
98,221,112,240,230
99,18,61,173,158
100,211,202,88,22
101,148,213,86,225
102,91,98,72,140
103,246,35,101,140
104,103,229,135,26
105,51,231,112,227
106,20,185,65,43
107,68,180,115,249
108,15,240,140,132
109,168,241,98,49
110,61,149,33,123
111,48,211,49,210
112,185,78,146,201
113,43,86,111,205
114,52,30,3,191
115,169,115,34,250
116,68,175,188,7
117,246,87,166,134
118,187,139,122,107
119,97,166,159,232
120,200,73,96,242
121,8,126,50,237
122,123,167,230,139
123,196,49,151,107
124,103,126,249,231
125,47,116,32,6
126,21,48,176,170
127,109,12,146,250
128,131,104,164,242
129,164,221,108,85
130,70,191,21,90
131,249,144,77,27
132,131,10,96,24
133,146,8,80,218
134,232,8,60,128
135,59,40,128,195
136,137,50,124,32
137,87,126,5,23
138,204,169,165,25
139,60,215,196,196
140,194,62,227,176
141,95,204,135,68
142,178,206,71,29
143,136,232,157,164
144,53,84,43,132
145,220,15,7,41
146,248,97,228,155
147,171,137,19,122
148,47,194,158,254
149,205,22,15,110
150,164,162,93,83
151,233,64,121,150
152,186,142,160,110
153,1,55,159,56
154,230,65,24,89
155,148,102,49,51
156,189,117,43,191
157,22,12,165,104
158,90,92,201,131
159,125,25,154,97
160,178,217,61,110
161,164,199,180,236
162,113,16,26,183
163,113,94,121,222
164,7,97,124,248
165,6,222,202,208
166,240,105,23,85
167,196,91,129,174
168,171,72,100,42
169,128,32,145,32
170,103,226,87,77
171,68,224,216,131
172,73,164,190,241
173,164,140,105,182
174,244,206,56,173
175,43,170,171,98
176,54,29,73,159
177,70,112,37,138
178,219,80,187,167
179,231,28,61,0
180,30,217,187,204
181,89,175,82,39
182,172,190,203,97
183,194,75,3,210
184,235,159,141,52
185,126,49,91,79
186,10,144,251,17
187,204,170,178,205
188,116,113,69,68
189,47,212,7,243
190,71,71,13,51
191,155,171,79,65
192,242,30,22,58
193,190,117,255,17
194,108,219,199,222
195,164,26,179,90
196,67,139,36,6
197,156,214,102,26
198,98,160,238,134
199,96,25,9,50
200,131,187,179,74
201,163,121,192,230
202,81,185,101,175
203,116,239,52,118
204,123,199,15,50
205,81,199,156,111
206,106,133,204,92
207,138,33,52,13
208,232,98,2,0
209,37,1,198,195
210,171,155,38,65
211,154,126,224,75
212,178,138,27,120
213,164,227,250,239
214,97,57,76,12
215,206,20,164,144
216,119,128,27,155
217,168,251,88,217
218,105,83,74,53
219,62,62,10,107
220,19,64,69,84
221,250,7,19,65
222,121,145,226,65
223,50,57,60,149
224,11,240,128,254
225,102,241,26,99
226,244,231,201,93
227,171,248,213,107
228,255,27,107,244
229,197,53,183,240
230,16,169,118,183
231,82,34,157,168
232,127,163,214,144
233,165,191,98,97
234,77,55,119,11
235,33,105,16,150
236,249,194,88,56
237,145,159,66,206
238,139,166,180,55
239,83,181,206,239
240,154,129,219,125
241,47,18,32,203
242,62,3,25,220
243,131,198,72,39
244,67,128,85,82
245,149,191,190,12
246,133,21,126,85
247,250,79,89,221
248,6,255,38,221
249,167,50,219,175
250,48,192,216,138
251,133,170,143,157
252,191,105,177,137
253,89,238,88,134
254,233,98,255,114
255,125,159,92,66
256,187,244,48,50
257,30,149,64,192
258,30,213,153,60
259,180,241,116,155
260,139,249,227,163
261,233,18,174,185
262,90,238,237,123
263,122,158,11,33
264,105,37,23,208
265,126,185,205,221
266,31,162,191,211
267,251,252,184,220
268,217,170,158,101
269,13,201,115,237
270,130,48,103,237
271,153,56,50,215
272,96,4,179,165
273,57,201,13,0
274,17,233,204,196
275,11,211,48,176
276,133,7,117,187
277,25,165,227,21
278,190,130,251,148
279,96,25,28,32
280,115,53,98,221
281,207,138,231,35
282,229,12,109,228
283,53,194,97,155
284,232,180,130,255
285,194,233,144,216
286,160,244,83,145
287,178,40,129,91
288,91,61,41,234
289,153,19,131,150
290,253,167,99,192
291,45,208,77,112
292,106,241,142,230
293,131,91,255,78
294,210,198,4,31
295,120,36,215,172
296,22,243,139,109
297,102,199,74,69
298,52,0,217,239
299,63,165,251,141
300,76,24,70,128
301,13,145,164,241
302,219,247,3,153
303,254,240,168,109
304,193,44,172,132
305,97,37,114,109
306,248,211,157,237
307,110,90,46,163
308,50,140,232,235
309,72,81,167,59
310,55,101,66,61
311,117,7,81,102
312,113,22,62,239
313,198,210,163,72
314,8,243,183,238
315,252,178,212,137
316,236,173,6,29
317,94,118,7,120
318,84,21,234,57
319,40,151,192,104
320,135,216,166,158
321,232,121,53,35
322,76,72,241,56
323,234,52,168,171
324,249,57,190,76
325,82,223,139,71
326,233,7,196,113
327,220,197,155,166
328,6,224,243,32
329,251,233,122,103
330,75,164,188,124
331,217,189,141,129
332,71,178,3,127
333,167,231,17,74
334,38,41,63,135
335,217,157,106,111
336,93,115,18,111
337,51,7,166,23
338,191,243,249,177
339,225,236,25,156
340,179,46,97,189
341,145,230,167,141
342,78,227,161,169
343,42,40,40,170
344,57,241,203,159
345,172,253,198,61
346,191,64,44,237
347,205,0,217,194
348,192,51,207,91
349,56,56,3,27
350,27,184,217,155
351,128,43,213,178
352,204,82,253,240
353,159,62,79,194
354,21,20,146,194
355,77,159,198,153
356,21,248,1,234
357,127,84,199,63
358,145,134,119,133
359,68,18,120,250
360,17,93,172,187
361,105,202,193,65
362,29,180,155,158
363,140,253,116,104
364,43,175,190,80
365,227,101,37,255
366,162,220,72,254
367,93,129,16,0
368,147,27,67,200
369,214,61,222,66
370,215,178,73,164
