0,56,44,156,13,209,97,190,238,44,186,94,244,178,101,148,21
1,138,112,118,224,180,254,124,230,239,209,198,50,29,213,141,164
2,131,1,21,222,114,83,163,39,167,243,182,20,13,210,53,109
3,210,218,34,1,194,24,253,203,249,172,197,203,157,63,187,244
4,35,171,94,165,153,214,228,175,102,134,115,122,157,82,126,95
5,33,217,62,226,51,182,178,142,33,107,141,81,43,181,215,164
6,101,240,156,57,215,98,227,119,68,160,232,153,155,238,50,251
7,20,115,90,211,81,245,123,109,218,114,230,2,97,34,190,116
8,49,34,241,210,139,45,155,82,76,176,101,245,255,137,50,7
9,235,33,68,145,219,68,94,106,48,159,26,186,28,33,84,127
10,109,146,68,200,195,39,88,38,135,3,112,179,67,102,83,6
11,234,155,41,237,89,4,85,239,227,84,100,3,253,60,44,75
12,255,217,95,80,145,82,55,46,13,92,11,79,56,52,131,112
13,154,193,92,191,17,204,14,201,14,183,164,140,51,235,210,75
14,245,124,0,191,81,17,202,202,210,2,120,240,102,39,196,157
15,110,31,67,152,50,212,31,241,182,174,217,127,17,227,27,79
16,58,111,64,204,80,212,124,96,174,197,7,218,120,148,129,221
17,57,128,232,178,169,10,50,166,235,20,221,49,240,38,23,106
18,117,226,236,78,112,184,38,210,33,132,103,138,59,159,178,69
19,10,40,175,161,33,87,167,91,214,164,237,191,230,97,12,193
20,130,252,62,3,39,134,86,255,90,160,250,232,160,104,90,173
21,228,26,178,74,177,126,36,240,80,36,110,3,189,20,19,215
22,3,215,117,209,124,162,213,222,242,246,177,35,86,74,214,92
23,204,3,65,151,188,54,163,199,106,62,124,110,196,2,187,189
24,149,106,224,16,100,95,213,156,238,194,236,171,101,154,129,231
25,190,49,5,105,117,221,113,25,127,154,188,64,226,103,82,188
26,28,194,190,74,22,62,94,92,116,13,225,200,100,120,50,190
27,250,47,79,86,154,96,158,45,54,179,242,167,127,121,51,236
28,177,19,144,8,194,151,106,248,199,2,1,87,175,34,11,243
29,40,115,3,153,208,195,104,216,13,219,224,55,181,179,179,65
30,168,37,72,21,62,39,59,94,245,203,238,40,50,85,26,164
31,232,169,171,207,56,218,29,205,217,5,232,72,75,107,32,124
32,57,154,224,205,28,13,96,253,206,94,103,123,60,50,88,163
33,48,15,56,240,172,162,229,62,195,186,238,181,10,42,85,161
34,62,142,217,225,173,168,246,186,141,196,199,27,229,50,115,200
35,15,121,214,9,36,205,18,85,75,211,8,122,204,83,100,74
36,154,12,22,38,110,228,152,0,198,95,129,163,126,156,245,115
37,76,91,120,57,211,241,89,245,184,102,109,180,233,146,209,123
38,172,221,167,226,107,115,134,93,13,160,35,90,136,13,57,197
