0,98,148,103,131,202,109,77,132,88,45,82,134,1,67,227,136
1,35,140,118,20,82,90,209,238,7,153,48,171,56,137,223,143
2,208,155,138,37,88,34,80,184,159,56,143,222,90,30,68,3
3,213,133,209,172,48,200,192,38,143,8,30,35,86,53,117,68
4,21,135,117,49,85,57,249,220,39,182,21,205,40,173,250,117
5,47,134,117,43,50,81,209,178,87,138,61,226,60,147,206,110
6,88,98,120,146,229,140,157,83,69,8,77,153,6,75,251,131
7,59,106,156,106,242,180,122,115,22,45,74,146,7,114,234,80
8,231,132,163,11,40,15,66,238,213,48,133,213,135,15,62,42
9,216,139,163,36,65,104,54,139,216,88,159,221,104,14,49,43
10,46,109,105,47,25,109,223,233,39,179,39,244,66,67,246,162
11,27,146,118,36,90,90,210,202,53,138,54,205,48,133,247,72
12,39,122,117,26,68,130,250,229,14,143,59,162,40,109,230,156
13,68,150,158,144,243,156,127,110,88,26,36,150,51,47,242,108
14,177,124,217,35,121,49,39,206,153,77,156,243,79,13,53,5
15,139,139,108,151,236,118,94,100,77,57,17,175,24,73,249,94
16,238,183,152,187,83,198,223,13,158,30,10,36,92,64,126,102
17,34,157,137,21,45,107,237,194,61,115,11,206,63,133,225,116
18,155,121,178,2,71,38,68,229,229,77,140,175,81,24,44,28
19,237,196,183,161,92,203,148,10,162,40,32,3,91,21,119,79
20,106,108,128,104,195,129,85,92,81,41,70,167,4,62,191,126
21,218,210,156,180,18,168,197,5,159,6,40,35,120,81,109,49
22,84,145,148,87,227,138,87,122,57,8,99,150,24,88,232,68
23,184,103,204,40,46,61,99,192,177,50,154,236,110,0,89,63
24,214,174,87,167,75,189,182,43,145,22,44,13,94,89,163,103
25,11,153,138,10,74,123,238,222,63,87,55,181,32,142,234,63
26,128,121,167,117,221,153,80,102,71,21,109,199,34,97,221,91
27,224,205,193,203,62,206,162,68,140,6,53,45,106,80,147,88
28,203,188,195,195,22,183,149,21,169,30,40,21,135,68,151,33
29,215,109,195,22,128,6,91,180,175,75,170,247,104,0,4,10
30,83,97,116,123,253,147,112,94,57,53,63,139,48,106,249,93
31,239,119,161,62,70,30,100,232,207,95,153,240,110,17,36,9
32,45,89,170,16,65,108,244,197,65,142,69,188,48,158,218,129
33,121,149,140,81,200,167,171,123,165,11,60,136,24,89,250,174
34,198,161,214,210,83,236,151,21,186,25,63,38,64,105,174,103
35,104,150,131,101,219,163,114,81,41,10,108,185,19,70,228,115
36,116,132,161,131,231,124,98,94,104,17,36,126,51,106,228,109
37,247,129,204,22,58,27,114,175,184,46,150,243,45,4,68,3
38,56,124,123,40,80,136,238,215,37,121,33,183,50,135,220,139
39,250,166,165,193,86,148,153,15,132,12,86,38,100,82,136,53
40,228,174,160,23,125,14,76,115,159,95,167,227,63,26,9,43
41,238,171,178,180,50,209,194,32,143,50,49,12,96,78,169,104
42,115,109,145,149,239,189,103,62,25,45,95,156,68,105,214,55
43,242,164,181,199,97,185,146,13,146,63,18,0,49,91,78,94
44,237,86,210,39,71,50,84,181,199,69,185,244,62,35,29,8
45,211,151,199,168,86,174,117,29,177,42,60,10,104,128,162,76
46,213,175,156,161,78,183,160,40,100,12,40,13,105,60,117,74
47,246,140,127,225,28,173,154,17,145,12,58,57,80,47,147,93
48,208,144,213,205,94,178,199,22,83,10,73,3,82,80,152,89
49,172,103,211,60,100,56,68,230,190,9,119,223,83,20,58,34
